,Uid,Elevation_m
665,-157.05943_21.16680,215.9750061
666,-157.06032_21.16647,213.0359955
667,-157.05942_21.16846,210.2189941
668,-157.05914_21.16957,219.0
669,-157.05879_21.17096,230.8439941
670,-157.05852_21.17208,221.7720032
671,-157.05856_21.17350,229.3049927
672,-157.05781_21.17332,235.8939972
673,-157.05716_21.17278,239.8370056
674,-157.05642_21.17236,242.5070038
675,-157.05710_21.17112,239.9550018
676,-157.05761_21.16909,219.9629974
677,-157.05787_21.16805,218.5059967
678,-157.06102_21.16725,210.0079956
679,-157.06179_21.16743,209.0010071
680,-157.06107_21.16868,212.0
681,-157.06020_21.17020,213.4530029
682,-157.06047_21.17111,213.1580048
683,-157.06021_21.17219,220.5390015
684,-157.06020_21.17387,231.8130035
685,-157.05941_21.17370,233.0010071
686,-157.05893_21.17041,227.0249939
687,-157.05865_21.17153,230.0679932
688,-157.05178_21.16832,243.5820007
689,-157.06094_21.16922,210.2599945
690,-157.06006_21.16748,213.753006
691,-157.05726_21.16548,222.0
692,-157.05711_21.16607,220.0
693,-157.05696_21.17007,234.9720001
694,-157.00466_21.16135,481.7529907
695,-157.00495_21.16122,476.7120056
696,-157.00549_21.16100,468.9379883
697,-157.00921_21.16030,440.5639954
698,-157.00850_21.16071,443.980011
699,-157.00737_21.16095,448.9289856
700,-157.00787_21.16023,443.0840149
701,-157.00732_21.16045,447.3479919
702,-157.00521_21.16160,467.1359863
703,-157.00672_21.16086,452.4790039
704,-157.00763_21.16033,445.0499878
705,-157.00662_21.16062,452.4729919
706,-157.04886_21.16546,254.3240051
707,-157.04944_21.16545,252.5350037
708,-157.05002_21.16673,247.0059967
709,-157.04994_21.16620,247.9179993
710,-157.04985_21.16603,248.529007
711,-157.05041_21.16600,245.8439941
712,-157.05066_21.16597,243.8930054
713,-157.00708_21.08155,9.8519897
714,-157.05083_21.16626,242.871994
715,-157.05051_21.16631,244.6790009
716,-157.05055_21.16658,244.0359955
717,-157.05070_21.16699,242.7720032
